labels,index,year,version,page,2500Bott,singlebott,scarcity,cognitive,external,internal,coordination,technical,demand,2500partner,singlepartner,advertising,nonuniform_progress,performance_constraints,user_heterogeneity,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",end_users,external_partners,substitutional_partners,paragraph
2.0,240.0,2012.0,2012.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Sohl’s ideal of the connected home resonates with others in the industry. This said, they all have their own spin on the concept."
0.0,320.0,2018.0,2018.0,66.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"For the past 20 years in the streaming industry, and in particular the content delivery network sub-sector, pundits and vendors have often posited that overcoming internet congestion/capacity is a key gating factor to the success of its services and models. "
0.0,480.0,2023.0,2023.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TVOD Anyone? Demand for transactional video on demand (TVOD) —essentially, pay-per-view content purchasing—has declined over the last few years, according to Foster, “as consumers globally have become more familiar with the ‘all you can eat’ subscription models popularized by Netflix, Spotify, etc.” But TVOD continues to thrive in some isolated areas, he says, such as “the very newest release movies that aren’t available through any other route and some high-profile sporting events. We continue to support it on a technical front, but licensing agreements have pivoted to SVOD and AVOD models.”"
0.0,560.0,2013.0,2013.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Media Excel defines the multi-screen transcoding standard for video delivery across the head-end, cloud and edge video distribution networks. The company’s software based solutions for live and file transcoding deliver adaptive bitrate multi-screen solutions. We power more than 18 million live Mobile TV viewers daily through the largest US telcos with 99.999% uptime since 2007. We provide superior solutions for HLS, Flash, Smooth and MPEG-DASH. We are also on the cutting edge in codec technology and will be showcasing our HEVC encoder. Look for the launch of our low-cost, full featured encoder decoder pair for point-to-point distribution and content gathering."
2.0,120.0,2011.0,2011.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"The never-ending evolution of new tablets and smartphones means one thing for developers: Keep up or else. You must know which new platforms your clients will have to support in 6 months’ time. And you must help your clients be ready for these new platforms, or some other developer eventually will."
0.0,640.0,2017.0,2017.0,81.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Play Success is the most important quality of experience indicator and is simply the number of people who were able to successfully play the video. During a live event, a low Play Success percentage is the most basic indication that something is going wrong and warrants further troubleshooting. For example, perhaps there was a large-scale network outage preventing the video from being delivered to the viewers. This information allows the network team to see quantifiable evidence that a problem has occurred and provides them with the data needed to make an exact diagnosis."
0.0,80.0,2013.0,2013.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Even ticket sales are an extra challenge with a live streamed event. Jones wanted to mimic the experience of reserving seats, but she couldn’t find a pay-per-view ticket sales system that handled reservations. Creating a system took most of Jones’ Christmas break, as she tweaked WordPress plug-ins until she got what she needed. Building her own system also let her company keep all the proceeds. Jones was determined to keep ticket prices low ($2.50), and she didn’t want to use a ticket system from Ustream or Livestream that would take half the profits. "
0.0,440.0,2016.0,2016.0,61.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"In search of increased revenue, cost savings, improved service, and customer retention, service providers are migrating key services to the cloud. The number of TV services that are accessed over the network via a service platform or back end for video on demand (VOD), subscription video on demand (SVOD), and other TV Everywhere services such as start-over or catch-up is ramping up fast. The arguments in favor of the cloud are compelling and the momentum unstoppable, although the shift is not always straightforward and should give pause for thought."
0.0,480.0,2023.0,2023.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bandwidth Optimization: The SDVP, powered by the Zixi Protocol, offers bandwidth efficiency through two crucial mechanisms: null packet compression and video awareness. These capabilities help media organizations reduce their bandwidth consumption and transport stream egress costs on average by 50% while maintaining video quality and producing the pre-encode bitrate post-decode."
0.0,80.0,2014.0,2014.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Acorn TV Takes Root Acorn started more than 20 years ago, long before streaming video took hold, by importing British television shows to the U.S. first on VHS, and later on DVD and Blu-ray Disc. At the time there were far fewer outlets for British programming in the United States. As a result, Acorn’s catalog found a niche but enthusiastic audience."
0.0,320.0,2016.0,2016.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Meetings/conferences Many conferences offer remote access to attendees who cannot physically travel to conference locations. Additionally, many companies are beginning to take advantage of technology to live stream important corporate meetings to keep all employees informed."
2.0,240.0,2010.0,2010.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"Qik, the social mobile video application, continued to make news in 2009 by completing a $5.5 million round of funding in July and by adding support for new phones, including the Apple iPhone, in August. After the company completed its round of funding, it welcomed Marcus Ogawa of Quest Venture Partners to its board of directors. "
2.0,400.0,2019.0,2019.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Interactive Live Streaming with Ultra-low latency (ULL) is gaining a lot of traction. A lot of new business cases are coming up going beyond standard broadcast: Trivia Game Shows, iGaming, Live Auctions, Betting, Webcasts, Security, Online Shopping and eSports, all uses cases where interactivity between the broadcaster and audience is key. Businesses worldwide rely on innovative end-to-end technology and global cloud services to create their own interactive live streaming use cases. These kinds of business verticals go beyond standard broadcast scenarios and need to rely on ease of use and instant live streaming with a global scale, all based on a great user experience and quality of service."
0.0,80.0,2020.0,2020.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Running a live linear channel can work for any content library. Evergreen content for educational, religious, or  entertainment-focused formats can all run as a 24/7 stream. One example is the ability to rebroadcast Zoom events. Another example might be sport events like surfing, wrestling, or even adventure sports that have captive audiences who want to watch archived content. "
0.0,240.0,2018.0,2018.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rendering Video Most of the current production releases of OTS players by vendors discussed in this article no longer implement a Flash fallback strategy; all rendering of video is handled via native browser APIs.If your target deployments require legacy browsers that don’t include modern HTML5 APIs, you will likely need a player (or player release version) that is capable of Flash rendering.The days of Flash-based playback are numbered, though, as Adobe has announced that it will sunset Flash Player development in 2020."
0.0,800.0,2016.0,2016.0,116.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Video is becoming one of the most popular trends in the enterprise. Heavily used for training and learning purposes, it’s now making its way to the top with live broadcasts of company townhalls, CEO addresses and all hands meetings. But did you know that more and more companies are broadcasting events from remote locations too? "
2.0,240.0,2007.0,20072008.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Not surprisingly, Ives agrees, saying that using voice recognition technology can more accurately match ads to the content of the file. Laatz concurs and believes that ad revenue over the next 5 to 10 years will flow from other areas such as print, TV, and radio to online video ads, and he predicts that the numbers could be in the $5–$10 billion range in overall revenue from multimedia text ads.He also points out that, “There will, of course, be some growth, but the pace of reallocation will far exceed the growth of the ad space just as it has happened with the emergence of online ads.”"
2.0,,2011.0,2011.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"“They love their favorite stars,” says Evan of the viewers. “The musicians on YouTube are one of the biggest things that fans connect to. There’s this whole growing segment of the population where it’s like their primary entertainment medium, just to go on YouTube and watch the regular shows that are put on by everyone ranging from vloggers to musicians to filmmakers to people with camera phones.”"
0.0,480.0,2022.0,2022.0,87.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Two years into a global pandemic, one that shows little sign of abating—in no small part due to variants that keep popping up, which further delay the return to “normal” office work—the streaming industry continues to grow at an accelerated rate. The byproduct of this growth is that the industry has attracted significant funding, not just for startups but also for established companies looking to leverage their growth into further capital investments."
0.0,960.0,2011.0,2011.0,151.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beyond a lack of accountability, the strategy of using multiple service providers actually costs more than using a single, integrated service provider. The main reason for this is the inability to achieve a bundled price for multiple services. With each provider delivering relatively few ser- vices, the business ends up paying a premium for each. Moreover, none of the providers view the business as a strategic account, which often translates into lower-quality customer support. Yet the delivery of mission-critical content and applications requires 24x7x365 expert-level support when serving a worldwide audience. "
1.0,280.0,2010.0,2010.0,49.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"“There’s a very unique idea in Adobe’s approach to multicasting,” said Pulier, “in which native multicast works together with application level multicasting. If a certain corporate office needs a low bandwidth (e.g., 400Kbps) due to its current bandwidth constraints, there’s no reason to penalize the rest of the viewers who are on a multicast-enabled portion of the network. The ability to send both high-bandwidth IP multicast and varying bandwidth peer-assisted multicast is one of FMS 4’s strong points.”"
0.0,120.0,2014.0,2014.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"A decade ago, HTDV adoption outpaced HD content, which outpaced HD video cameras. But 4K will reverse this progression order and 4K capable video device sales will outpace UltraHD TV set adoption, and instead of watching 4K over a digital cable connection and settop box, consumers will stream 4K content to their UHDTV, UHD mobile devices, and UHD computer monitors. The April 2014 release of the UHD-capable Samsung Galaxy S5 single-handedly ensured that 4K video will become a consumer-adopted technology long before it makes it into our homes as our primary way to consume television and movies. The two previous generations of Galaxy phones sold around 40 million devices globally in 6 months, and the traditional 2-year hardware renewal cycle from those original Galaxy S3 customers will ensure similar numbers for the Ultra High Definition video-capable Galaxy S5."
0.0,80.0,2015.0,2015.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"So Millennials might think they’re enjoying fresh edgy content in new ways, but from where I’m sitting I think they’re enjoying Generation X’s reruns—just as we watched the reruns of the Baby Boomers who came before us."
1.0,240.0,2007.0,2007.0,52.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"Alkove: From a feature perspective, PlayReady adds support for domains, which allows content to move seamlessly among a user’s devices and PCs. In addition to support for Windows Media codecs, PlayReady also supports non-Windows Media codecs such as H.264 and AAC, and non-audio/visual content like bitmaps for backgrounds, games, maps, and ringtones, which differentiates it from existing technologies in the marketplace today. A very important point is that PlayReady is backwards-compatible with Windows Media DRM 10. As a result, device manufacturers can build PlayReady devices that are compatible with existing Windows Media DRM 10 content and services such as Napster, CinemaNow, Amazon, MovieLink, and so on."
0.0,80.0,2009.0,2009.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Once again, we don’t have any actual data from YouTube to prove its point; we just have to take YouTube’s word for it. It does say that the 3%–5% number is old and wrong, but it doesn’t share with us what the accurate number actually is. I would agree with YouTube that the number of monetized views is what’s most important, but you also have to take the volume of monetized views into account as well. Monetization only works as a business model if the volume of videos you get revenue from is large enough to support your business. Also, when YouTube says something has “more than tripled,” that really means nothing to us without numbers. It sounds good, but what’s the base number it was working off of that actually tripled?"
2.0,400.0,2008.0,2008.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ultimately, the joy in seeing your videos go for a walk comes from having others interact with the stories and, inturn, sharing stories of their own. I can’t wait to see that television pilot that should have made it or Grandma telling stories on Christmas morning. Start sharing, and enjoy the conversations you start."
1.0,480.0,2010.0,2010.0,88.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"Which Codec? Now that Silverlight supports H.264, codec selection isn’t a decision factor between Flash and Silverlight, but you can still choose between H.264 and VP6 on the Flash platform, and VC-1/WMV and H.264 in Silverlight. Note that H.264 is currently the only codec supported by Apple’s HTTP Live Streaming. Regarding Flash, both the MLB and MTV sites have standardized on H.264 for new content, primarily because of quality but also because of configurability. This fact was particularly important to Inzerillo, who customizes encoding parameters based on the stadium, camera location, and even whether a game is played during the day or at night. "
1.0,600.0,2007.0,2007.0,102.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Input Support—Rhozet reserved high-end productionformats like MXF, GXF, LXF, Omneon, Quantel, PanasonicP2, and Sony XDCAM for Carbon Coder, their high-endproduct, so it should come as no surprise that a product inProCoder’s price range and target market wouldn’t supportthese broadcast and ENG-oriented input formats either."
1.0,280.0,2011.0,2011.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,"Frigoletto says that even Netflix, Inc. and iTunes, the biggest player in movie streaming and the world’s biggest music and video store, respectively, are hard pressed to deliver a true discrete multichannel audio experience, with the surround channels essentially interpolated using what he refers to as a “1970’s technology” such as phase shifting, smearing, and matrixing. Dolby Digital can handle a fully discrete surround soundtrack, but Frigoletto says that mobile applications don’t always offer the bandwidth needed to pass that through. “1080p is everywhere, even on handsets now, but getting 5.1 across is harder,” he says, referencing the perennial second-class status that many audiophiles believe sound is relegated to when it’s synced to picture."
0.0,280.0,2017.0,2017.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"When Google announced its 2016 Pixel phones (a departure from the long-running Nexus series), it also introduced the Daydream headset, which is a spiritual successor to Cardboard. Daydream stands out from other VR headsets by being made of washable, breathable, lightweight fabric. With a price point similar to Samsung’s Gear VR, expect adoption to climb for both of these devices.While hardcore gaming and ultra-immersive experiences will remain on high-end tethered setups like those from Facebook’s Oculus and Sony’s PlayStation VR, simpler devices like Daydream and Gear will allow mobile users to engage in VR content more spontaneously. This could prove to be a boon to advertisers and retailers who encourage shoppers to use their portable headsets to receive unique experiences and special discounts."
0.0,160.0,2023.0,2023.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"HESP’s low-latency capabilities stem from the same principle. By allowing startup of a stream on any frame, and by being able to execute this very fast, client buffers required to ensure stability can be reduced, effectively reducing latency as well. In current tests, production deployments of HESP can perform stream startup within a few hundred milliseconds, allowing for stable playback at latencies as low as 700ms–900ms."
0.0,160.0,2014.0,2014.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Many of these devices are now being used to consume internal-facing video communications, requiring—at a minimum—the need for sandboxing of corporate content on an employee device. In addition, there are three primary streaming security factors to consider when using the cloud for streaming content: user authentication, asset security, and streaming security."
0.0,400.0,2020.0,2020.0,51.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bluechip wildlife programming is another natural genre to benefit from ultra-resolution and futureproofed sales, although the demands of working with 8K data in the field are a drawback."
0.0,360.0,2018.0,2018.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"INCREASING RELIABILITY AND PERFORMANCE When delivering your video content over a single content delivery network (CDN), reliability will always be a concern. While the chance of an outage occurring is always minimal, it can drastically hamper your reputation, especially if it occurs during a global events such as the World Cup 2018. This is the reason why more and more companies are now using multiple CDNs for their video delivery."
0.0,200.0,2021.0,2021.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Intuitively, scene-based encoding makes  a lot of sense. Customizing encoding parameters for an individual scene should be more efficient than trying to find the optimal encoding configuration for a segment containing two or more scenes that could comprise wildly different content. In addition, changing encoding parameters at a scene change would obviously be less noticeable than changing parameters within a scene. Ultimately, Netflix’s computed efficiency numbers speak for themselves; as measured by VMAF, dynamic optimization enabled Netflix to reduce the bitrate of x264, VP9 (libvpx), and x265 by 28.04%, 37.61%, and 33.51%, respectively, while retaining the same quality."
0.0,200.0,2018.0,2018.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Surveillance Surveillance is an area that is going to drive a lot of AI development in regard to object detection. One of the biggest challenges organizations face is trying to determine, out of a 24/7 video stream that is generally very boring to watch, when there’s an incident."
0.0,320.0,2014.0,2014.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"A traditional CDN can also be used within the firewall to deliver data and media content, but the cost effec-tiveness of using an external CDN for internal delivery has always faced the same financial hurdle that today’s cloud-only solutions face."
0.0,40.0,2018.0,2018.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Then all of the skinny bundles offered cloud DVRs seemingly overnight. Cloud DVRs are even better than hardware DVRs, since you can tap into your recordings from any device."
2.0,600.0,2012.0,2012.0,106.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"While there are many other factors that any one buyer may find critical, this list is intended to cover the key features that, in my mind, are critical to the intended audience of these devices. In the following table, I use a crude scoring system. At some point, I hope to have all the devices for a true shootout, but so far, this has proven difficult to arrange with the vendors. Perhaps there is something they don’t want me to see?"
0.0,320.0,2021.0,2021.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"VR and AR require bandwidth between 20Mbps and 30Mbps and can therefore be consumed in a stadium without an HMD, which Harmonic believes will be a popular use case.Multi-view, multicam, and multi-game HD video, which will also require 20Mbps, has been demonstrated at the RG Lab with France Télévisions."
0.0,520.0,2017.0,2017.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"FASTech.io’s Video Optimizer We took only a cursory glance at FASTech, which is a startup hosted at the Qualcomm Institute Innovation Space and at StartR, an accelerator at the Rady School of Management at the University of California–San Diego. According to a brochure on its website (fastech.io),  FASTech’s Video Optimizer “employs proprietary technology to build a model for each video based on FASTech’s large-scale quantitative analyses and subjective perceptual tests.” This is used to “find optimal compression settings and obtain high compression rates while keeping excellent perceptual quality.” The technology is currently available as a cloud service, with pricing based upon bandwidth savings or a fixed license. "
2.0,720.0,2011.0,2011.0,115.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"In April 2010, Steve Jobs published his thoughts on Flash in an open letter (www.apple.com/hotnews/thoughts-on-flash), which served as a clear industry marker that supporting HTML5 was going to be critical for reaching the hugely popular iOS devices and, probably more than any other event, triggered industry-wide uptake."
0.0,520.0,2015.0,2015.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"The benefit of QBR is enhanced Quality of Experience (QoE) for the end user and substantial cost reductions for streaming video service providers. The technology, offered as a managed service by MediaMelon, enables service providers to deliver a significantly improved user experience and leverage."
