stage,index,year,version,page,paragraph,2500Bott,singlebott,bott_list,scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transcational,technical,demand,2500partner,singlepartner,content_production,data_center/storage,Internet_infra,content_distribution,"browsers,_apps_&_smart_devices",advertising,end_users,external_partners,substitutional_partners,transactional,Song_Column_5,Z
0.0,280.0,2009.0,December-2009-January-2010,55.0,"Digital Rapids has rethought the selections in terms ofinclusive project shortcuts.This allows two projects to beset up exactly the same, with the same format and bitratebut with different audio and video inputs.This way, only a single choice on the touchscreen could yield a change toa number of settings, including the inputs, allowing forrapid reconfiguration in the field.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,320.0,2009.0,December-2009-January-2010,60.0,"There are three operational modes for BoinxTV: Live to Disk, Live to Internet, and Live to Stage. The Live to Disk mode is used to record live events to a hard drive for later playback. This approach helps reduce production costs by allowing the attendant to handle all the video and audio mixing and editing on-the-fly rather than in a more time-consuming and expensive post-production mode. Movies are recorded and stored locally as Apple QuickTime .MOV files. Using BoinxTV’s built-in transcoding software, these can be exported in a variety of popular formats, including MPEG-4, Windows Media, AVI, FLC, DivX, and more. These files can also be formatted for portable devices such as iPods, iPhones, and 3G mobile phones.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,400.0,2009.0,December-2009-January-2010,72.0,"Lastly, connected televisions and smart phone devices will make significant strides in the quest to give consumers access to video content available on the open Internet. While still lacking an open industry standard that gives consumers true portability for online video across three screens, the new generation of devices promises to fuel further demand for online video and growth for the industry.",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,480.0,2009.0,December-2009-January-2010,79.0,"Globally, video continued to be the largest driver of bandwidth demand, both from content providers and consumer broadband users alike. As broadband speeds continue to increase and fiber-to-the-home (FTTH) deployments become more ubiquitous in North America, video will continue to fuel this growth, and the explosion of high definition (HD) video will be the icing on the cake. Peer-to-peer (P2P) traffic has shrunk tremendously from what we saw between 2005 and 2007, as the quality and increase in availability of online media has met the demands of viewers",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,560.0,2009.0,December-2009-January-2010,88.0,"Aspirational 3: The marketer’s dream: I am being heard.I hope marketers everywhere will begin to use advanced, immersivevideo analytics to determine the effectiveness of video as apowerful communication medium.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
2.0,640.0,2009.0,December-2009-January-2010,96.0,"More than any other year, 2009 saw the rise of video one of the most effective communication mediums. In 2010, the focus will be on high quality content, storytelling, and business models that will continue to emerge to foster that growth.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,680.0,2009.0,December-2009-January-2010,100.0,"HTTP-based streaming is an evolving innovation that will yield significant benefits for content providers, while providing consumers with better access to bandwidth-optimized, high definition content. Since HTTP-based streaming utilizes existing web server infrastructure, eliminating the need for separate, dedicated media servers, specialized software tools and associated hosting fees, it will ultimately enable content providers to lower operating costs, realize greater management efficiency, and scale infrastructure with greater flexibility.",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,40.0,2009.0,February-March-2009-(Sourcebook),12.0,"With TV manufacturers embracing built-in internet connectivity, we are bound to see a massive boom of consumption in the living room. Mobile technologies, albeit a political train wreck, are also showing exciting signs of promise and real growth. As for the monetization models that make all this possible, online video advertising has always been a moving target, but there’s no question how this will play out in 2009. Industry rates and delivery mechanics will be set by those companies that are making the deals. I don’t think we need a committee or an organization to “set the stage” in this arena; it’s happening already, and history is being written by the victors.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0
2.0,80.0,2009.0,February-March-2009-(Sourcebook),23.0,"Zhanfan is also deputy director of the State Administration of Radio, Film, and Television (SARFT), the Chinese ministry responsible for program licensing, so his warning also carried an official announcement that SARFT would monitor local stations and commercial websites.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
2.0,200.0,2009.0,February-March-2009-(Sourcebook),36.0,"Integration in a Multicodec World The growth in iTunes U adoption is no doubt helped along byApple’s Podcast Producer software.Integrated as a free componentof the Mac OS X server, Podcast Producer made its debut as partof the upgrade to Leopard in late 2007.The package simplifiesthe ability to record, transcode, package, and distribute audio orvideo lectures, primarily using Apple hardware.PodcastProducer doesn’t exclusively upload to iTunes U—you canpublish to any platform that supports RSS syndication—although Apple certainly makes iTunes publishing easy withbuilt-in workflows.",1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,360.0,2009.0,February-March-2009-(Sourcebook),50.0,"Many have also speculated that larger companies in larger industries will eventually take a major role in the streaming/online video industry, including telecoms. For example, AT&T announced in June that it would spend $70 million in 2008 to build out its CDN infrastructure, something it also did back in 2000. Similarly, in January 2007, Level 3 Communications, LLC acquired the CDN assets of SAVVIS for $135 million (and later those of StreamCast) and has since become one of the largest providers in terms of storage capacity as well as a pricing leader.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
1.0,600.0,2009.0,February-March-2009-(Sourcebook),85.0,"“The AVC License separately grants (a) a right to manufacturers to make and sell AVC products,” said Tom O’Reilly, MPEG LA’s manager of research and public relations, “and (b) a right to content providers to use such AVC products to encode and decode AVC Video. A royalty applies to each.”  ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
0.0,720.0,2009.0,February-March-2009-(Sourcebook),102.0,"Transrating content—that is, reducing the bitrate for internet distribution—will always degrade image quality.Cross-conversion ortranscoding content originally compressed toAVC/MPEG-4 Part 10 or VC-1/Windows Media, Flash, or QuickTimeis a complex processing challenge with inherent quality loss.It isbest to repurpose baseband video and perform a single encode.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,760.0,2009.0,February-March-2009-(Sourcebook),110.0,"Third, if clients are paying for the event to be webcasted live, be sure they know about any problems with the test that are out of the control of the webcast team. Although companies such as TV Worldwide have been doing live webcasts for more than 10 years, for many people, it’s a brand-new technology. That means that if anything goes wrong in a webcast, the obvious party to point the finger at is the one with the newest technology. If there are problems that will seriously impact the quality of the live webcast, the client needs to understand that going in. If it goes well, the webcaster usually ends up getting the credit. If not, and if the client was not made aware of the issues, it not only reflects badly on the webcaster but also can sour the client on the technology itself.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0
0.0,120.0,2009.0,June-July-2009,24.0,"As you’ve read in the main article, the show’s producer and star, Gary Vaynerchuk, is vocal about not stressing over production values and streaming quality, which is a shame because the producers at Wine Library are definitely leaving some quality on the table——though several options may relate to the technology decisions made by the site’s service providers, not Wine Library. Though the overall score is high, the critical mistakes——in choosing a background, codec selection, and encoding techniques——are so fundamental that they unnecessarily degrade the quality of the entire production. I get Vaynerchuk’s aversion to overproducing the show, but this is like serving a red wine without letting it breathe or a white wine at room temperature. Pay attention to a couple of key details, and quality should improve considerably.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,320.0,2009.0,June-July-2009,52.0,"Results were also good with encoding to VP6 format, which produced SD and HD files similar in quality to On2 Flix Pro, Carbon Coder, and most other VP6 encoders. On2 must have done a good job making its software development kit (SDK) easy to use because most encoding tools that create VP6 produce very similar quality. In terms of the feature set, Episode lets you encode in either VP6-E or VP6-S formats, as well as single and dual-pass VBR. You can also produce files with an alpha channel and choose between Best and Normal quality. I used the former for all quality and performance tests as described below.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,360.0,2009.0,June-July-2009,58.0,"I agreed with his assessment that online advertisements suffer from their sameness to traditional television ads, which are designed to engage a different audience altogether. Plus, the poor quality of online advertisement encoding, relative to the much higher quality encoding seen on TV, visually calls into stark contrast the difference between the quality of the programming and the quality of the advertisement.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
0.0,80.0,2009.0,October-November-2009,17.0,"Once again, we don’t have any actual data from YouTube to prove its point; we just have to take YouTube’s word for it. It does say that the 3%–5% number is old and wrong, but it doesn’t share with us what the accurate number actually is. I would agree with YouTube that the number of monetized views is what’s most important, but you also have to take the volume of monetized views into account as well. Monetization only works as a business model if the volume of videos you get revenue from is large enough to support your business. Also, when YouTube says something has “more than tripled,” that really means nothing to us without numbers. It sounds good, but what’s the base number it was working off of that actually tripled?",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,160.0,2009.0,October-November-2009,30.0,"“Today’s ‘TiVo generation’ [members] are comfortable watching most content on their own schedule,” Aquilone says. “There’s also a lessened demand for immediate feedback, which increases the likelihood of more prerecorded presentations, as the content originators don’t feel compelled to do all their events live, instead providing an email address and asking for feedback. Having said that, for live events, we find we get much better interaction than we do from a physical meeting. When a presenter at a physical meeting may get nine questions, a live streamed event may generate 99 questions or comments.”",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,240.0,2009.0,October-November-2009,38.0,"Some video producers are concerned about this trend.“Leave video production to the professionals,”they say.But their complaints are quickly being brushed aside in the face of overwhelming demand by an ever-growing number of users that are enthusiastically adopting the concept.Similar warnings were voiced years ago when desktop publishing first became available,shortly followed by desktop presentation creation tools such as Aldus Persuasion and Microsoft PowerPoint.Professional graphics designers identified early challenges:“There are ten typefaces per page”and “These are unreadable slides—they’re not created by artists.” While they had a point—there is no substitute for good design—the reality was that “business-based”end users became increasingly adept,and the applications became pervasive.As a result, internal business typesetting and presentation production is now the norm. So to video professionals blocking EGC we say,“It’s better to join now because there’s no turning back.User demand for EGC is growing exponentially and is indicative of historical ommunication and collaboration adoption patterns!”",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,400.0,2009.0,October-November-2009,56.0,"Simple taxonomies are fine for static content that is finely structured.But what about video clips, which are by nature only partially structured?Jörg Waitelonis, a Ph.D.student in Germany, is creating Yovisto, anacademic video search engine to catalog semistructured content suchas recordings of lectures and seminars.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,440.0,2009.0,October-November-2009,59.0,"“Our core goal is to help people find moving images,”says Jackson, “but we’ve found we had to move wellbeyond user interfaces to the creation of effectivemetadata tools and interfaces.”",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0,0.0,2010.0,April-May-2010,-1.0,The 2010 Streaming Media All-Stars The Economics of Live Events Surveying the Set-Top Boxes Reviewed: Telestream Wirecast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The 2010 Streaming Media All-Stars The Economics of Live Events Surveying the Set-Top Boxes Reviewed: Telestream Wirecast,0.0
2.0,40.0,2010.0,August-September-2010,6.0,"Objectives M&S TV was launched with a range of objectives including: • Increase sales • Raise the level of customer engagement on www.marksandspencer.co. • Illustrate the hidden stories beyond the shop floor • Provide an elevated customer experience • Allow deeper insight into the company’s social and environmental responsibility program, Plan A • Streamline the shopping experience through integration of e-commerce tools • Raise awareness of the brand beyond www.marksandspencer.com • Provide a deep range of content to the consumer that informs, educates and entertains.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,80.0,2010.0,August-September-2010,12.0,"According to Nielsen, mobile is now the fastest growing segment of video consumption. And with close to 500 million users, Facebook has emerged as the leading platform for content sharing and discovery. In addition, connected devices like Boxee and Roku are meeting pent-up demand from consumers frustrated by the lack of freedom and control over how and when they consume programming.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,160.0,2010.0,August-September-2010,19.0,"With more tools and distribution points than ever before, media publishersstand poised to reap the benefits of are bounding ad market and a competitiveinfrastructure environment that has significantly reduced cost.Now is the time for them to rededicate themselves to their audiences and their content. Enterprises need to be more proactive about leveraging the power of video. It’s been said that a picture is worth a thousand words.At 29.97 frames per second,a five-minute video would be worth 8,991 words! Organizations everywhere are only just beginning to embrace the communicative power of video,both internally and externally.",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
0.0,200.0,2010.0,August-September-2010,25.0,"There are several ways to use video in mobile marketing. Among Limelight Networks customers, one popular scenario is for enhanced directory listings. It’s the modern-day equivalent of a display ad in the Yellow Pages, but video provides a better opportunity for demonstrating how a product or service works. Another use case is for direct video emails and SMS. Limelight customer Imavex offers targeted marketing services and now includes video in its online STREAMOTOR service. STREAMOTOR became popular initially with a number of car dealerships, which use the service to send mobile video both to existing and prospective customers. A mobile video acts like a video voicemail that a consumer can access at any time. Sending a video birthday message to a loyal customer strengthens that relationship. Likewise, sending a follow-up video after a customer test-drives a new car adds a personal touch that can make the difference between a purchase and a lost opportunity.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0
0.0,120.0,2010.0,December-2010-January-2011,28.0,"Unfortunately, Windows Media Player 11 and 12 are not capable of using the SSC, unless EE 4 Pro has been installed on the machine being used. Why is this? It turns out that EE 4 Pro installs a DirectShow filter that Windows Media Player can access to play back archived Smooth Streaming files at the highest bitrate but cannot be used to play Live Smooth Streaming content. If EE 4 Pro is uninstalled, the DirectShow filter is also eliminated.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,240.0,2010.0,December-2010-January-2011,47.0,"Customer Response: The final question pertained to the viewers’ responses to the availability of the adaptive streaming solution. To a degree, the streams watched by the viewers tend to speak for themselves. MTV couldn’t offer the 3.5Mbps stream that 19% of its viewers enjoyed unless there was a lower-quality stream available to serve to other users with slower connections and/or less powerful playback stations.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,280.0,2010.0,December-2010-January-2011,56.0,"“Each encoder is set up for a particular handset platform profile that automatically sets it up to encode for an iPhone, an Android, a BlackBerry, and so on,” Tom Sahara, senior director of production operations for Turner Sports, explains. Most of what takes place once the signals reach the encoder farms tends to be automatic—the result of plenty of programming ahead of time—as is distribution to the various carriers. But Sahara says there’s still a lot of management that has to go on. The diversity of handset profiles in the market is in contrast to broadcast sports in general, which are now shown almost universally in high definition at the major-network level. In some cases, each phone type might have multiple bitrate streams, if the carrier supports that. The best solution is to start with the highest quality signals possible. “Even if it’s on a 160x240 [resolution] handset screen, for instance, the quality is better if the source material is high-quality,” he says.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,320.0,2010.0,December-2010-January-2011,64.0,"The JavaScript compatibility between browsers could also be an issue. Just as a well-designed site works in any browser, HTML5 designers should take care that the code is well-tested and exhibits the same results in all supported browsers.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,400.0,2010.0,December-2010-January-2011,77.0,"Much of the last decade’s online content has been on demand. Today, we see a huge growth in live streaming of content. This demand is being driven by the explosive growth in the number and variety of powerful new wireless and broadband-enabled viewing devices, like the iPad. The number of users accessing live video streams via the Internet is being driven by increased bandwidth and connectivity options. Users now have the ability to quickly stream extremely large files and high volumes of video content to global audiences on personal computers, IPTVs, and mobile devices.",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,40.0,2010.0,February-March-2010-(Sourcebook),14.0,"Of course, the argument goes, you can already find just about any movie, TV show, sporting event, or album online for free now. But for all the entertainment industry's griping about The Pirate Bay, the average consumer still doesn’t want to go to the trouble of finding bootleg versions of the things they want, then taking the time to download them from unreliable sources, only to find out that they’re not getting what they thought they were getting or that the quality of what they’re getting isn’t worth consuming.",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,200.0,2010.0,February-March-2010-(Sourcebook),41.0,"By using the unique attributes of online communications to understand viewers,webcasting professionals can providevaluable insights that management canapply to broader trends.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,240.0,2010.0,February-March-2010-(Sourcebook),46.0,"Qik, the social mobile video application, continued to make news in 2009 by completing a $5.5 million round of funding in July and by adding support for new phones, including the Apple iPhone, in August. After the company completed its round of funding, it welcomed Marcus Ogawa of Quest Venture Partners to its board of directors. ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0
